id,name,date
1,GNX,2024-11-22
2,Mr.Morale & The Big Steppers,2022-05-13
3,Her Loss,2022-11-04
4,Certified Lover Boy,2021-09-03
5,SOS,2022-12-09
6,SWAG,2025-07-11
7,After Hours,2020-03-20
8,Hollywood's Bleeding, 2019-09-06
9,ASTROWORLD,2018-08-03
10,WE DON'T TRUST YOU,2024-03-22
